set_id,set_name,price_vnd,source_url,item_order,raw_item_text,item_name_clean,item_role,included_in_mining
SM200_03,Set menu 200.000đ /người (3),200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-3,8,TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,Khăn lạnh,service,0
SM200_03,Set menu 200.000đ /người (3),200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-3,8,TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,Trà đá,service,0
SM250_01,Set menu 250.000đ /người (1),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,1,GÂN BÒ XÀO CẢI CHUA,Gân bò xào cải chua,core,1
SM250_01,Set menu 250.000đ /người (1),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,2,GÀ HẤP MẮM NHĨ,Gà hấp mắm nhĩ,core,1
SM250_01,Set menu 250.000đ /người (1),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,3,BÒ SỐT NẤM,Bò sốt nấm,core,1
SM250_01,Set menu 250.000đ /người (1),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,4,CÁ DỨA KHO TỘ,Cá dứa kho tộ,core,1
SM250_01,Set menu 250.000đ /người (1),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,5,TÔM RANG MUỐI,Tôm rang muối,core,1
SM250_01,Set menu 250.000đ /người (1),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,6,CANH CHUA CÁ BÓP,Canh chua cá bóp,core,1
SM250_01,Set menu 250.000đ /người (1),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,7,CƠM NIÊU,Cơm niêu,common,0
SM250_01,Set menu 250.000đ /người (1),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,8,TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,Trái cây,service,0
SM250_01,Set menu 250.000đ /người (1),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,8,TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,Khăn lạnh,service,0
SM250_01,Set menu 250.000đ /người (1),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,8,TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,Trà đá,service,0
SM250_02,Set menu 250.000đ /người (2),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,1,ĐẬU QUE XÀO BÒ,Đậu que xào bò,core,1
SM250_02,Set menu 250.000đ /người (2),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,2,GÀ CHIÊN NƯỚC MẮM,Gà chiên nước mắm,core,1
SM250_02,Set menu 250.000đ /người (2),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,3,GIÒ HEO NẤU GIẢ CẦY,Giò heo nấu giả cầy,core,1
SM250_02,Set menu 250.000đ /người (2),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,4,CÁ THU SỐT CÀ CHUA,Cá thu sốt cà chua,core,1
SM250_02,Set menu 250.000đ /người (2),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,5,TÔM CHÁY TỎI,Tôm cháy tỏi,core,1
