transaction_id,product_name,main_category,item_count,items,source
8715035110304,Sauce Soja,soy sauces,6,soya bean | vegetable | legume | pulse | soya | wheat,Open Food Facts
6111250472241,Bol Bol Ketchup,ketchup,4,concentré de tomate | vinaigre de table | amidon de pomme de terre modifié | sel et arôme,Open Food Facts
8715700112596,"Ketchup zéro sel ajouré, 70% moins de sucres",ketchup,8,tomatoes | spirit vinegar | lemon juice concentrate | potassium chloride | acidifier | citrus fibre | spice and herb extracts | sweetener,Open Food Facts
8720182557315,Maille mout fin gour 320g,mustards,13,moutarde de dijon (eau | graines de moutarde | vinaigre d'alcool | acidifiant : acide citrique | conservateur : disulfite de potassium | huile de colza | moutarde à l'ancienne (vinaigre d'alcool | arôme naturel | vin blanc 1 | amidon modifié de pomme de terre | farine de moutarde | épaississant : gomme xanthane | épices,Open Food Facts
87157635,Tomato Ketchup,groceries,4,tomates | vinaigre | extraits d'épices et d'herbes | épice,Open Food Facts
8720182557452,Moutarde à l’ancienne,old style mustards,5,vinaigre d'alcool | graines de moutarde | arôme naturel | acidifiant : acide lactique | conservateur : disulfite de potassium,Open Food Facts
8722700113348,Amora,groceries,9,tomato ketchup | ingredients: tomatoes | spirit vinegar | natural flavourings | 'tomatoes from sustainable farming | average nutritional values per 100 g | per 15 g serving | % / 15 g | energy value: 414 kj/,Open Food Facts
8715700017006,Tomato Ketchup,tomato ketchup,5,tomates | vinaigre | extraits d'épices | extrait d'herbes | épice,Open Food Facts
6111184004716,Star moutarde,groceries,6,mustard seeds | table vinegar | soybean oil | stabilizers (e412 | eă15 | preservative e224 and antioxidant e330,Open Food Facts
3292070001576,Houmous sésame,groceries,8,traces éventuelles de : lait | soja | céréales contenant du gluten | crustacés | œufs | poissons | moutarde | mollusques,Open Food Facts
8711200584383,Vinaigrette Légère Huile de Sésame & Sauce Soja Graines de Sésame Torréfiées 36 cl,vinaigrettes au sésame,12,huile de colza | vinaigre de vin rouge | sauce soja (eau | graines de soja | blé | vinaigre d'alcool | alcool | vinaigre de vin blanc | huile de sésame 5 | graines de sésame torréfiées 2 | épaississants : carraghénanes et gomme xanthane | épices. peut contenir : moutarde,Open Food Facts
8005110517006,Pasta sauce,tomato sauces with basil,9,gehackte tomaten | passierte tomaten | tomatenmark 10 | olivenöl | zwiebeln | basilikum 1 | karotten | natürliche aromen | salz,Open Food Facts
8076809513746,Pesto alla Genovese,green pestos,13,huiles végétales (olive | tournesol | basilic frais | noix de cajou | fromage parmigiano reggiano aop | fibre de maïs | lactosérum en poudre | protéines de lait | huile d'olive vierge extra | extrait de basilic | arômes naturels | correcteur d'acidité : acide lactique | ail. peut contenir des traces d'autres fruits à coque,Open Food Facts
