transaction_id,set_name,slot_index,item_name,item_key,is_service_item,source_url
SM004,Set menu 250.000đ /người (1),6,Canh Chua Cá Bóp,canh chua ca bop,0,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1
SM004,Set menu 250.000đ /người (1),7,Cơm Niêu,com nieu,1,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1
SM004,Set menu 250.000đ /người (1),8,Trái Cây,trai cay,1,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1
SM004,Set menu 250.000đ /người (1),9,Khăn Lạnh,khan lanh,1,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1
SM004,Set menu 250.000đ /người (1),10,Trà Đá,tra a,0,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1
SM005,Set menu 250.000đ /người (2),1,Đậu Que Xào Bò,au que xao bo,0,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2
SM005,Set menu 250.000đ /người (2),2,Gà Chiên Nước Mắm,ga chien nuoc mam,0,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2
SM005,Set menu 250.000đ /người (2),3,Giò Heo Nấu Giả Cầy,gio heo nau gia cay,0,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2
SM005,Set menu 250.000đ /người (2),4,Cá Thu Sốt Cà Chua,ca thu sot ca chua,0,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2
SM005,Set menu 250.000đ /người (2),5,Tôm Cháy Tỏi,tom chay toi,0,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2
SM005,Set menu 250.000đ /người (2),6,Canh Chua Cá Dứa,canh chua ca dua,0,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2
SM005,Set menu 250.000đ /người (2),7,Cơm Niêu,com nieu,1,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2
SM005,Set menu 250.000đ /người (2),8,Trái Cây,trai cay,1,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2
SM005,Set menu 250.000đ /người (2),9,Khăn Lạnh,khan lanh,1,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2
SM005,Set menu 250.000đ /người (2),10,Trà Đá,tra a,0,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2
SM006,Set menu 250.000đ /người (3),1,Rau Rừng Gia Lai Xào Bò,rau rung gia lai xao bo,0,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3
SM006,Set menu 250.000đ /người (3),2,Gà Kho Sả Ớt,ga kho sa ot,0,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3
SM006,Set menu 250.000đ /người (3),3,Thịt Rang Cháy Cạnh,thit rang chay canh,0,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3
SM006,Set menu 250.000đ /người (3),4,Cá Chim Hấp Hong Kong,ca chim hap hong kong,0,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3
SM006,Set menu 250.000đ /người (3),5,Tôm Chiên Nước Mắm,tom chien nuoc mam,0,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3
SM006,Set menu 250.000đ /người (3),6,Canh Hến (Dắt) Mồng Tơi,canh hen dat mong toi,0,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3
SM006,Set menu 250.000đ /người (3),7,Cơm Niêu,com nieu,1,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3
SM006,Set menu 250.000đ /người (3),8,Trái Cây,trai cay,1,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3
SM006,Set menu 250.000đ /người (3),9,Khăn Lạnh,khan lanh,1,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3
SM006,Set menu 250.000đ /người (3),10,Trà Đá,tra a,0,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3
SM007,Set menu 300.000đ /người (1),1,Gỏi Bò Đồng Quê,goi bo ong que,0,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1
SM007,Set menu 300.000đ /người (1),2,Gà Hấp Cải Xanh,ga hap cai xanh,0,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1
SM007,Set menu 300.000đ /người (1),3,Cá Bống Mú Chưng Tương,ca bong mu chung tuong,0,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1
SM007,Set menu 300.000đ /người (1),4,Bò Sốt Tiêu Đen,bo sot tieu en,0,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1
SM007,Set menu 300.000đ /người (1),5,Tôm Càng Cháy Bơ Tỏi,tom cang chay bo toi,0,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1
SM007,Set menu 300.000đ /người (1),6,Lẩu Vịt Om Sấu,lau vit om sau,0,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1
SM007,Set menu 300.000đ /người (1),7,Cơm Niêu,com nieu,1,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1
SM007,Set menu 300.000đ /người (1),8,Trái Cây,trai cay,1,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1
SM007,Set menu 300.000đ /người (1),9,Khăn Lạnh,khan lanh,1,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1
SM007,Set menu 300.000đ /người (1),10,Trà Đá,tra a,0,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1
SM008,Set menu 300.000đ /người (2),1,Gỏi Thái Hải Sản,goi thai hai san,0,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2
SM008,Set menu 300.000đ /người (2),2,Gà Hấp Mắm Nhĩ,ga hap mam nhi,0,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2
SM008,Set menu 300.000đ /người (2),3,Cá Kho Làng Vũ Đại,ca kho lang vu ai,0,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2
SM008,Set menu 300.000đ /người (2),4,Bắp Bò Ngâm Nước Mắm,bap bo ngam nuoc mam,0,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2
SM008,Set menu 300.000đ /người (2),5,Tôm Càng Xanh Rang Muối,tom cang xanh rang muoi,0,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2
SM008,Set menu 300.000đ /người (2),6,Lẩu Ngót Cá Chim,lau ngot ca chim,0,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2
SM008,Set menu 300.000đ /người (2),7,Cơm Niêu,com nieu,1,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2
SM008,Set menu 300.000đ /người (2),8,Trái Cây,trai cay,1,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2
SM008,Set menu 300.000đ /người (2),9,Khăn Lạnh,khan lanh,1,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2
SM008,Set menu 300.000đ /người (2),10,Trà Đá,tra a,0,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2
SM009,Set menu 300.000đ /người (3),1,Salad Cải Mầm Bò,salad cai mam bo,0,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-3
SM009,Set menu 300.000đ /người (3),2,Gà Hấp Mía,ga hap mia,0,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-3
SM009,Set menu 300.000đ /người (3),3,Cá Ngừ Đại Dương Lúc Lắc,ca ngu ai duong luc lac,0,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-3
SM009,Set menu 300.000đ /người (3),4,Tôm Càng Hấp Bia,tom cang hap bia,0,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-3
SM009,Set menu 300.000đ /người (3),5,Mực 1 Nắng Chiên Nước Mắm,muc 1 nang chien nuoc mam,0,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-3
SM009,Set menu 300.000đ /người (3),6,Lẩu Riêu Cua Sườn Sun,lau rieu cua suon sun,0,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-3
SM009,Set menu 300.000đ /người (3),7,Cơm Niêu,com nieu,1,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-3
SM009,Set menu 300.000đ /người (3),8,Trái Cây,trai cay,1,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-3
SM009,Set menu 300.000đ /người (3),9,Khăn Lạnh,khan lanh,1,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-3
SM009,Set menu 300.000đ /người (3),10,Trà Đá,tra a,0,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-3
SM010,Set menu 350.000đ /người (1),1,Gỏi Tiến Vua Tôm Thịt,goi tien vua tom thit,0,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-1
SM010,Set menu 350.000đ /người (1),2,Gà Hấp Mắm Nhĩ,ga hap mam nhi,0,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-1
SM010,Set menu 350.000đ /người (1),3,Bắp Bò Ngâm Nước Mắm,bap bo ngam nuoc mam,0,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-1
SM010,Set menu 350.000đ /người (1),4,Cá Kho Làng Vũ Đại,ca kho lang vu ai,0,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-1
SM010,Set menu 350.000đ /người (1),5,Tôm Càng Hấp Nước Dừa,tom cang hap nuoc dua,0,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-1
SM010,Set menu 350.000đ /người (1),6,Lẩu Cua Nấu Bầu,lau cua nau bau,0,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-1
SM010,Set menu 350.000đ /người (1),7,Cơm Niêu,com nieu,1,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-1
SM010,Set menu 350.000đ /người (1),8,Trái Cây,trai cay,1,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-1
SM010,Set menu 350.000đ /người (1),9,Khăn Lạnh,khan lanh,1,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-1
SM010,Set menu 350.000đ /người (1),10,Trà Đá,tra a,0,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-1
